Word,Count
,208
to,184
the,123
USE:,89
rick,86
gessner,86
a,82
*,79
for,67
of,66
this,64
on,63
directory,63
in,55
by,53
be,48
Copyright,44
reserved,43
All,43
rights,43
if,43
©,43
Created,43
name,42
return,39
and,38
we,38
should,36
2019,36
entry,35
is,33
file,30
block,30
you,29
from,27
need,26
stream,26
so,25
skip,24
that,24
entity,23
given,23
<<,21
not,21
or,20
Database3,20
string,20
as,20
This,19
STUDENT:,19
an,19
have,18
storage,18
},17
{,17
it,17
DB,17
can,17
with,16
into,16
each,16
next,16
data,15
all,15
table,15
type,15
new,15
memory,14
your,14
Read,14
use,13
error,13
permission,13
list,13
Datatabase4,13
value,12
check,12
pointer,12
=,12
sure,12
call,12
read,12
create,11
add,11
File,11
convert,11
StatusResult,11
class,11
zero,11
get,10
just,10
are,10
retrieve,10
when,10
do,10
index,10
used,9
field,9
write,9
no,9
|,9
---------------------------------------,9
first,9
case,9
now,9
multi-byte,9
want,9
-----------------------------------------------------,9
Entity,8
make,8
entities,8
STATEMENT,8
buffer,8
called,8
may,8
row,8
=============================,8
then,8
----------------------------------,8
const,8
will,8
wide-character,8
statement,8
path,8
key,8
this..,7
fields,7
entity..,7
free,7
============,7
Convert,7
Release,7
Return,7
related..,7
view,7
entries,7
storage..,7
2018,7
has,7
Open,7
name..,7
We,7
If,7
structure,7
implement,7
USE,7
user,7
NULL,7
db,7
search,7
{name}..,7
at,6
show,6
**,6
files,6
blocks,6
Length,6
load,6
Cannot,6
Block,6
cache,6
indices,6
Studio,6
object,6
Visual,6
absolute,6
else,6
primary,6
later,6
where,6
Allocate,6
parse,6
size,6
identifier..,6
attribute,6
TOC,6
number,6
store,6
hang,6
it's,6
4/12/19,6
Write,6
int,5
ask,5
count,5
mark,5
declare,5
going,5
low,5
NOTE:,5
one,5
here,5
yank,5
also,5
4/13/19,5
assume,5
uint32_t,5
temporary,5
build,5
remove,5
record,5
database,5
handle,5
buffers..,5
Microsoft,5
Database1,5
sync,5
:,5
std::endl;,5
find,5
rows,5
table..,5
level,5
version,5
terminator,5
Get,5
which,5
describes,5
compiler,4
Returns,4
actually,4
std::cout,4
already,4
using,4
loaded,4
but,4
set,4
change,4
rows..,4
without,4
std::string,4
\block,\,4
WinRT,4
cannot,4
collection,4
consume,4
+-----------+----------------------+,4
Directory,4
--,4
returns,4
CREATE,4
code,4
\"\\,4
needs,4
folder,4
Close,4
Execute,4
let's,4
bit,4
output,4
current,4
DATABASE,4
ignore,4
up,4
file..,4
end,4
ECEDatabase,4
open,4
success,4
2,4
Note,4
group,4
Success,4
function,4
dump,4
result,4
after,4
Windows,4
\&aBlock,\,4
don't,4
1,4
block..,4
\one,\,4
\aBlockNumber,\,4
command..,4
select,4
--------------------------------------------------,3
\storage,\,3
general,3
3/24/19,3
3/20/19,3
too,3
d_type,3
being,3
'where',3
\field,\,3
method,3
update,3
might,3
working,3
later..,3
char,3
Database,3
macros,3
completely,3
stream..,3
Reset,3
{tablename}..,3
Dirent,3
known,3
3/30/18,3
header,3
temp;,3
actual,3
functions,3
blockNums,3
(may,3
our,3
even,3
No,3
//std::cout,3
Rewind,3
room,3
\number,\,3
others,3
(or,3
valid,3
they're,3
potentially,3
doesn't,3
debug,3
keyword,3
length,3
order,3
been,3
Set,3
TABLE,3
only,3
allocated,3
ECE141::DataType::timestamp_type,3
save,3
_wreaddir(),3
iterate,3
still,3
4/25/19,3
token..,3
row..,3
about,3
OK,3
any,3
buffer..,3
resulting,3
like,3
validate,3
dirent,3
while,3
c++,3
(if,3
Filters,3
The,3
match,3
inserting..,3
multiple,3
blocknum,3
it..,3
call..,3
values,3
Error,3
map,3
(for,3
relative,3
pattern,3
statement..,3
2005,3
(int)timestamp;,3
allows,3
yet,3
how,3
yet..,3
==================================================================,3
last,3
display..,3
StatusResult{noError};,3
character,3
include,3
sets,2
field-list..,2
TO,2
aBlockNum),2
string..,2
DIR,2
probably,2
access,2
conversion,2
\kStoredIdentifierLen,\,2
least,2
ctor,2
defines,2
C++,2
%,2
Got,2
contains,2
statically,2
named,2
describe,2
CHANGED,2
drop,2
flags,2
-----------------------------------------------------------,2
operand,2
{},2
prefer..,2
show(),2
means,2
#,2
commands..,2
true,2
mode;,2
=======================================================,2
scan,2
max,2
names,2
INSERT,2
valType,2
'identifier'..,2
Must,2
know,2
throw,2
These,2
opendir(),2
target..,2
StringList*,2
records,2
0..,2
non-Microsoft,2
encode,2
failure,2
anyway,2
id,2
----------------------------------------,2
key/value,2
resave,2
single,2
requests,2
found..,2
DESCRIBE,2
Pipe,2
sizeof(Block));,2
exception),2
\a,b..\,2
input,2
we've,2
SHOW,2
_WDIR,2
properly,2
BlockVisitor_h,2
properties,2
see,2
fields.empty(),2
given..,2
Always,2
clear,2
Older,2
over,2
fixed-size,2
look,2
position,2
excluding,2
some,2
Add,2
filters,2
compatibility,2
based,2
initial,2
TOTALLY,2
case..,2
Our,2
4/19/18,2
\0,2
written,2
attributes,2
area,2
another,2
ahead..,2
schema,2
=======,2
directory..,2
manage,2
binary,2
dummy,2
everything,2
&,2
\view,\,2
input..,2
define,2
default,2
4/15/19,2
DROP,2
could,2
Encode,2
\this,\,2
Indicates,2
(NOT,2
For,2
invalid,2
hash,2
them,2
basic,2
Desktop,2
Structure,2
aList,2
frwd..,2
\&anEntity,\,2
system,2
old,2
eat,2
row;,2
enum,2
tablename..,2
false,2
\(fields),\,2
filter,2
It's,2
internal,2
text,2
paths,2
opened,2
RowCollection&,2
we're,2
execute,2
Failure,2
toc,2
Index&,2
Find,2
delete,2
time..,2
its,2
WITH,2
\buffer,\,2
tokenizer,2
3/17/19,2
'operator'..,2
try,2
device,2
WHERE,2
Index,2
whether,2
overwrite,2
Sockets,2
used..,2
(internal),2
//so,2
keep,2
generic,2
more,2
format..,2
stored,2
auto,2
KeyValues,2
std::size_t,2
\paths,\,2
Decode,2
DB's..,2
CreateDB,2
Not,2
what,2
operator..,2
rewinddir(),2
\object,\,2
reached,2
'database_kw'..,2
purpose..,2
very,2
free..,2
blocks..,2
available,2
purpose,2
way,2
(storage),2
tokens..,2
Use:,2
between,2
view..,2
cause,2
location..,2
DELETE,2
\reached,\,2
attemp,2
0,2
Compute,2
issue..,2
force,2
existing,2
expect,2
\entity,\,2
variable,2
Zero-terminate,2
statements,2
haven't,2
individual,2
console,2
there's,2
constructor,2
keywords,2
otherwise,2
construct,2
decode,2
INTO,2
4/22/19,2
\((char*)&aBlock,\,2
always,2
put,2
within,2
3/25/19,2
'*',2
3,2
End,2
main,2
full,2
3/19/19,2
suitable,2
safely,2
Implement,2
rowCollection;,2
were,2
autoincrement,2
'table_kw'..,2
'into_kw'..,2
STUDENT,2
dumb,2
assuming,2
calls,2
SELECT,2
trick,2
FROM,2
Invalid,2
\operator=,\,1
be..,1
example:,1
seem,1
statusresult,1
\key,\,1
Entries,1
'tables_kw'..,1
MSVC,1
curr,1
mask,1
aStream.flush();,1
table/DB,1
\created\n"\\,1
again,1
enter,1
associated,1
every,1
