File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,"Attribute::Attribute(std::string aName, DataType aType, uint8_t aSize, bool autoIncr, bool aPrimary)",4,4,4,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::Attribute(DataType aType),3,3,3,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::Attribute(const Attribute &aCopy),4,4,4,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::~Attribute(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::setName(std::string &aName),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::setType(DataType aType),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::setSize(int aSize),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::setAutoIncrement(bool anAuto),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::setPrimaryKey(bool aPrimary),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::setNullable(bool aNullable),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::isValid(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::isCompatible(DataType aType) const,13,3,3,2,0,0,10,17,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::getSize() const,12,12,7,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::describeTabular(),18,16,17,1,2,2,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,Attribute::operator==(Attribute& anAttribute),5,5,4,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,"operator >>(BufferReader& aReader, Attribute &aValue)",14,13,13,1,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,"operator <<(BufferWriter& aWriter, const Attribute &aValue)",8,8,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.cpp,CommandProcessor::CommandProcessor(IInterpreter *aNext),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.cpp,CommandProcessor::~CommandProcessor(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.cpp,CommandProcessor::interpret(const Statement &aStatement),11,11,9,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.cpp,CommandProcessor::getStatement(Tokenizer &aTokenizer),15,13,8,4,2,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.cpp,CommandProcessor::processInput(Tokenizer &aTokenizer),10,10,9,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.cpp,CommandProcessor::getActiveDatabase(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,"describeBlock(const Block &aBlock, uint32_t aBlockNum)",3,2,2,1,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,"Database::Database(const std::string aName, CreateNewStorage)",1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,"Database::Database(const std::string aName, OpenExistingStorage)",1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::~Database(),2,2,2,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::getEntity(const std::string &aName),21,18,14,6,1,1,2,15,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::createTable(Entity *anEntity),11,9,9,1,2,3,0,13,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,"Database::deleteRows(const std::string &aName, const Filters &aFilters)",27,25,20,9,0,0,2,19,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::describe(std::ostream &anOutput),6,6,6,2,0,1,0,7,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::dropTable(const std::string &aName),23,13,13,4,3,1,7,54,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,"Database::insertRow(const Row &aRow, const std::string &aTableName)",44,33,28,7,2,2,9,130,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,"Database::selectRows(RowCollection &aCollection, const Entity &anEntity, const Filters &aFilters, const StringList *aFields)",11,6,6,1,1,0,4,37,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::saveEntities(),11,11,10,3,0,1,0,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::showTables(std::ostream &anOutput),11,6,6,2,3,1,2,27,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,"Database::updateRow(const Row &aRow, const KeyValues &aKVList, const Entity &anEntity)",26,17,16,4,6,3,3,55,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,Database::tableExists(const std::string aName),3,2,2,1,0,0,1,7,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::DBManager(IInterpreter *aNext),2,2,2,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::~DBManager(),2,2,2,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::releaseDB(),6,6,5,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::getStatement(Tokenizer &aTokenizer),21,21,17,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::loadDatabase(const std::string &aName) const,9,9,8,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::createDatabase(const std::string &aName),27,12,12,3,9,2,6,67,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::dropDatabase(const std::string &aName),13,11,12,3,2,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::describeDatabase(const std::string &aName) const,7,7,8,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::showDatabases() const,8,7,8,1,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::useDatabase(const std::string &aName),16,9,10,3,3,0,4,40,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::interpret(const Statement &aStatement),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::hashString(const char *str),6,6,6,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::getHash(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::Entity(std::string aName),2,2,2,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::Entity(const Entity &aCopy),1,1,1,0,0,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,"Entity::Entity(Block &aBlock, uint32_t aBlockNum)",27,17,16,2,4,0,6,62,
